query,match,score
fructooligosaccharide,đường fructooligosaccharide,11.825552
"e472e , Este của glycerol với acid diacetyl tartaric và acid béo , Diacetyltartaric and fatty acid esters of glycerol","e472a , Este của glycerol với acid acetic và acid béo , Acetic and fatty acid esters of glycerol",91.117714
"e472e , Este của glycerol với acid diacetyl tartaric và acid béo , Diacetyltartaric and fatty acid esters of glycerol","e472b , Este của glycerol với acid lactic và acid béo , Lactic and fatty acid esters of glycerol",91.117714
đậu nành được sản xuất trên dây chuyền sản xuất các loại bánh,được sản xuất trên dây chuyền sản xuất các loại bánh,86.65158
đậu nành được sản xuất trên dây chuyền sản xuất các loại bánh,bột mì được sản xuất trên dây chuyền sản xuất các loại bánh,81.8854
protein cô đặc từ thịt,tinh bột khoai tây protein cô đặc từ thịt,43.253075
protein cô đặc từ thịt,chiết xuất từ thịt,19.378891
canxi các bo nát,canxi,8.743376
canxi các bo nát,canxi phosphat,8.17432
adenosin smonophosphat,adenosin s monophosphat,10.351349
adenosin smonophosphat,adenosin e5 monophosphat,10.351349
bột nấm đông cô,nấm đông cô,32.92056
bột nấm đông cô,chân nấm đông cô,31.509144
dầu hướng đương  muối biển,muối biển,21.994236
dầu hướng đương  muối biển,dầu hướng dương,14.7059
"e349 ,  , ammonium malate","e351 ,  , potassium malate",14.300062
"e349 ,  , ammonium malate","e264 ,  , ammonium acetate",13.849744
"e375 ,  , niacin (nicotinic acid), nicotinamide (vitamin B3)",vitamin b3,25.975449
"e375 ,  , niacin (nicotinic acid), nicotinamide (vitamin B3)",b3,12.158652
thịt ba rọi xông khói,ba rọi xông khói,44.569374
thịt ba rọi xông khói,thịt ba rọi xông khỏi,40.203922
hạt phủ,lớp phủ,11.367317
hạt phủ,lớp sốt phủ,10.672695
spice extract e0,spice,12.158652
spice extract e0,spice extracts,11.367317
chất béo thực vật hydro hỏa hoàn toàn,chất béo thực vật hydro hóa hoàn toàn,49.286476
chất béo thực vật hydro hỏa hoàn toàn,chất béo thực vật đã hydro hoá hoàn toàn,38.920708
hương kem phô mai tổng hợp,hương kem phô mai,35.23529
hương kem phô mai tổng hợp,hương phô mai tổng hợp,32.043934
"e352_ii , Calci malat, DL- , Calcium malate, DL-",dl,22.096905
"e352_ii , Calci malat, DL- , Calcium malate, DL-",axit dl,20.658745
acetylated distarch adipal,"e1422 , Acetylated distarch adipat , Acetylated distarch adipate",22.940308
acetylated distarch adipal,"e1414 , Acetylated distarch phosphat , Acetylated distarch phosphate",22.940308
bột khoai lang,tinh bột khoai lang,30.11309
bột khoai lang,khoai lang,22.563686
hương liệu dầu,hương liệu,11.948238
hương liệu dầu,hương liệu vani,11.323878
ara,ara lutein,11.825552
ara,dầu năm giàu ara,9.513424
hương dừa tổng hợp  sản phẩm có chứa thành phần từ gluten,sản phẩm có chứa thành phần từ gluten,58.803864
hương dừa tổng hợp  sản phẩm có chứa thành phần từ gluten,sản phẩm có chứa thành phần từ đậu nành,37.765366
tình bột biến tính,bột biến tính,28.642164
tình bột biến tính,tỉnh bột biến tính,27.41449
acid tartric,acid malic acid tartric,30.373945
acid tartric,acid,7.7237325
chiết xuất protein,chiết xuất cua,11.477932
chiết xuất protein,chiết xuất sò,11.477932
bắc bổ trọng,đỗ trọng,11.825552
bắc bổ trọng,bắc kỷ,11.825552
nhập khẩu,nhập khẩu từ úc,21.509323
nhập khẩu,muối nhập khẩu,20.419594
e965_ii,"e965_ii , Siro maltitol , Maltitol syrup",21.08546
acid lactic,chất điều chỉnh độ chua acid lactic,18.11378
acid lactic,acid lactic e270,18.113579
chơi điều vị,lchất điều vị,15.501455
chơi điều vị,bột điều vị,15.501455
"e223 , Natri metabisulfit , Sodium metabisulfite",sodium metabisulfite,34.106346
"e223 , Natri metabisulfit , Sodium metabisulfite",natri metabisulfit,31.825306
calcium carbonate bánh viên vị bí đỏ boro,bánh viên vị bí đỏ boro,68.17394
calcium carbonate bánh viên vị bí đỏ boro,bánh viên vị cải bó xôi boro,27.953436
"e161a ,  , flavoxanthin","e965 ,  , maltitol",5.368336
"e161a ,  , flavoxanthin","e558 ,  , bentonite",5.368336
mận,chiết xuất mận,11.102929
mận,mận tây,10.52426
phẩm có chứa đậu nành,sản phẩm có chứa  đậu nành,31.956875
phẩm có chứa đậu nành,sản phẩm có chứa đậu nành,31.956875
đậu tương đen,tương đen,19.442547
đậu tương đen,sốt tương đen,18.532145
cá cơm,cốt cá cơm,18.48951
cá cơm,pate cá cơm,18.48951
hương chuối tổng hợp dùng cho thực phẩm,hương tổng hợp dùng cho thực phẩm,39.70467
hương chuối tổng hợp dùng cho thực phẩm,hương bò tổng hợp dùng cho thực phẩm,38.30933
dầu cá,bột dầu cá,17.925098
dầu cá,từ dầu cá,17.925098
hương nhân tạo e2,hương nhân tạo,23.271717
hương nhân tạo e2,hương nhân tạo vải nhân tạo,22.336601
hỗn hợp protein lòng trắng trứng,lòng trắng trứng,31.818825
hỗn hợp protein lòng trắng trứng,bột lòng trắng trứng,30.48644
cốt gồm,gồm,10.704107
cốt gồm,cốt gum,9.431559
hương dầu tự nhiên,hương dầu khuynh diệp tự nhiên,21.229227
hương dầu tự nhiên,thực phẩm màu dầu tự nhiên,21.009789
"e101_ii , Natri Riboflavin 5'-phosphat , Riboflavin 5'- phosphate sodium",natri riboflavin e5' phosphat,24.63966
"e101_ii , Natri Riboflavin 5'-phosphat , Riboflavin 5'- phosphate sodium",riboflavin từ bacillus subtilis e101_ii,18.266432
muối cá cơm,cá cơm,19.445381
muối cá cơm,cốt cá cơm,18.48951
"e353 , Acid metatartaric , Metatartaric acid",acid,14.8801365
"e353 , Acid metatartaric , Metatartaric acid","e200 , Acid sorbic , Sorbic acid",10.496048
bột baking,bột,4.218189
bột baking,bột nấm,3.9436517
hương wasabi giống tự nhiên,hương giống tự nhiên,19.68807
hương wasabi giống tự nhiên,hương trà giống tự nhiên,18.841072
chiết xuất từ rau củ quả tươi,chất chiết từ rau củ quả tươi,47.72494
chiết xuất từ rau củ quả tươi,chiết xuất rau củ quả tươi,47.413887
không phụ gia,không chất phụ gia,27.049301
không phụ gia,phụ gia,22.09333
hương dứa,e2018 befagen hương dứa,20.241745
hương dứa,hương dứa nhân tạo,13.497831
tôi băm,tôi,11.792564
tôi băm,tôi muối,11.025056
hydroxypropyl phosphate de diamidon,phosphate de diamidon hydroxypropylé,23.984594
hydroxypropyl phosphate de diamidon,"e463 , Hydroxypropyl cellulose , Hydroxypropyl cellulose",10.025673
hương hạt sen giống tự nhiên,hương hạt sen tổng hợp,23.847128
hương hạt sen giống tự nhiên,hương hạt phỉ tự nhiên,21.641275
củ cải trắng,chiết xuất củ cải trắng,29.847986
củ cải trắng,củ cải,19.305607
biosta curing,biosta,12.648787
biosta curing,curing,12.648787
có chứa chất chống oxi hoá,chất chống oxi hoá,38.742645
có chứa chất chống oxi hoá,có chứa chất chống oxi hóa,34.768482
"e479 , Dầu đậu nành oxy hóa nhiệt tương tác với mono và diglycerid của các acid béo , Thermally oxydized soya bean oil interacted with mono- and diglycerides of fatty acids","e471 , Mono và diglycerid của các acid béo , Mono- and Di- glycerides of fatty acids",73.53389
"e479 , Dầu đậu nành oxy hóa nhiệt tương tác với mono và diglycerid của các acid béo , Thermally oxydized soya bean oil interacted with mono- and diglycerides of fatty acids",mono and diglycerides of fatty acids,59.28463
thịt cua,chất tạo thịt cua,21.11579
thịt cua,cua,9.814203
caramen amont,caramen,8.743376
caramen amont,caramen amoni,8.17432
e466 e412,e466,11.792564
e466 e412,e466 e407,11.025056
dầu cá tinh luyện,dầu cá tinh chế,26.546787
dầu cá tinh luyện,dầu cá tinh chế có chứa dha,23.40939
đào cô đặc,tinh chất đào cô đặc,24.316216
đào cô đặc,nước ép đào cô đặc,24.316216
chiết xuất rong,chiết xuất rong biển,22.71319
chiết xuất rong,chiết xuất cua,11.477932
đào nghiền nhuyễn,thơm nghiền nhuyễn,19.047216
đào nghiền nhuyễn,táo nghiền nhuyễn,19.047216
indigoo carmine e132,e132,11.500251
indigoo carmine e132,indigottine e132,10.751766
hương đậu xanh tổng hợp dùng cho thực phẩm,hương đầu xanh tổng hợp dùng cho thực phẩm,47.15672
hương đậu xanh tổng hợp dùng cho thực phẩm,hương đậu xanh tổng hợp,39.768814
đầu cá hồi,cá hồi,20.14898
đầu cá hồi,hương cá hồi,19.17691
hai sản,bột sản,8.511261
hai sản,hải sản,8.511261
chất tạo màu riboflavin,chất tạo màu riboflavin tự nhiên,26.722841
chất tạo màu riboflavin,chất tạo màu riboflavin tổng hợp,26.722841
hương va ni nhân tạo,hương va ni tự nhiên,25.956734
hương va ni nhân tạo,hương va ni giống tự nhiên,24.900936
chất chống oxy hoá tocopherol dạng hỗn hợp,chất chống oxy hoá tocopherol mixed,38.879784
chất chống oxy hoá tocopherol dạng hỗn hợp,tocopherol dạng hỗn hợp,36.805508
sirô caramen,caramen,10.704107
sirô caramen,màu caramen,10.007439
sản phẩm từ whey,sản phẩm từ đạm whey,27.11457
sản phẩm từ whey,sản phẩm whey,20.29977
bột gia vị bbq,gia vị bbq,29.077806
bột gia vị bbq,bột gia vị gà bbq,24.461872
dầu thực tập,dầu thực,14.324472
dầu thực tập,dầu thực phẩm,13.594695
chiết xuất nấm hương,bột chiết xuất nấm hương,33.253235
chiết xuất nấm hương,bột chiết xuất nấm hương shiitake,22.579794
hạt chia đen úc,hạt chia đen,30.168348
hạt chia đen úc,hạt chia úc,25.225533
phụ gia thực,phụ gia thực phẩm,29.451845
phụ gia thực,phụ gia thực phẩm hương gà,27.118567
tinh bột đậu xanh  các gói gia vị,các gói gia vị,34.89109
tinh bột đậu xanh  các gói gia vị,a các gói gia vị,33.52464
muỗi tốt,muỗi,11.792564
muỗi tốt,muối tốt,11.025056
dầu mù tạc,mù tạc,24.644333
dầu mù tạc,hạt mù tạc,23.444302
gạo mầm vibigaba,gạo,7.9140053
gạo mầm vibigaba,gạo nhật,7.398929
gia vi muô i,muô i,22.452473
gia vi muô i,gia vi phú mai,17.478615
"e234 , Nisin , Nisin",nisin e234,34.67616
"e234 , Nisin , Nisin",e234,27.012527
nước ép táo cô đặc có hàm lượng axit thấp,nước ép táo cô đặc,38.740112
nước ép táo cô đặc có hàm lượng axit thấp,nước táo từ nước ép táo cô đặc,33.39651
đường chiết xuất lúa mạch,sữa nước đường chiết xuất lúa mạch,41.169964
đường chiết xuất lúa mạch,đường chiết xuất mầm lúa mạch,36.347397
mỹ canada,mỹ,12.648787
mỹ canada,canada,12.648787
kali iodic c,c,9.155802
kali iodic c,e160 c,8.559904
bột malt,bột malt từ lúa mạch,14.241097
bột malt,bột chiết xuất malt,12.344262
với chất chống oxy hoá,với chất chống oxy hóa,37.531242
với chất chống oxy hoá,chất chống oxy hoá,35.23108
allura red ac,"e129 , Allura red AC , Allura red AC",45.27801
allura red ac,allura red ac e129,31.162289
chất tạo ngọt nhân tạo,chất tạo ngọt nhân tạo e951,35.430702
chất tạo ngọt nhân tạo,chất tạo ngọt nhân tạo sorbitol,35.430702
rau thơm oregano khô,rau thơm,20.789413
rau thơm oregano khô,rau khô,14.486536
iron,reduced iron,11.367317
iron,niacin reduced iron,10.672695
đường trứng,đường một lòng đỏ trứng,11.567879
đường trứng,trứng,8.29958
lactosérum en poudre,crème en poudre,18.713072
lactosérum en poudre,lait en poudre,18.713072
kem suika,kem,8.628313
kem suika,kem xốp,8.066748
contient des arômes ajoutés,contient des produits laitiers,22.663868
contient des arômes ajoutés,contient des produ à base de falt de veche,18.437912
phosphatidylserin đậu nành,đậu nành,13.048137
phosphatidylserin đậu nành,vây đậu nành,12.408138
semi sô cô la,semi sô cô la ii,39.597477
semi sô cô la,sô cô la,26.242321
caramen nhóm i tổng hợp,phẩm màu caramen nhóm i tổng hợp,37.645363
caramen nhóm i tổng hợp,caramen nhóm i,27.713436
mạch nha glucose,mạch nha glucose syrup,29.305832
mạch nha glucose,hương tổng hợp mạch nha glucose,27.4381
xanh brilliant fcf,xanh brilliant blue fcf,30.853436
xanh brilliant fcf,xanh gardenia,11.025056
sản phẩm sản xuất trên dây chuyền sản xuất lúa mì,sản phẩm sản xuất trên dây chuyền sản xuất có chứa trứng,65.05786
sản phẩm sản xuất trên dây chuyền sản xuất lúa mì,được sản xuất trên dây chuyền sản xuất nguyên liệu có chứa lúa mì,52.302814
hỗn hợp bột cacao,hỗn hợp bột,23.488829
hỗn hợp bột cacao,hỗn hợp bột ớt,22.430523
sản phẩm có chứa các thành phần di ứng sau,sản phẩm có chứa các thành phần dị ứng sau,57.248238
sản phẩm có chứa các thành phần di ứng sau,sản phẩm có chứa các thành phần trên,43.021805
olio vegetale di girasole,olio di girasole,35.24128
olio vegetale di girasole,olio di cócco,10.09476
chất làm dày,bột năng chất làm dày,25.326645
chất làm dày,hỗn hợp chất làm dày,25.326645
bột lòng đỏ trứng muối,lòng đỏ trứng muối,38.7985
bột lòng đỏ trứng muối,hương lòng đỏ trứng muối,37.27772
apple,apple flavour,10.52426
apple,apple extract,10.52426
hành tẩy,bột dầu tẩy,11.102929
hành tẩy,hành,7.805247
may contain wheat,contain wheat,23.675764
may contain wheat,may contain,20.362541
hương rong biển tự nhiên,rong biển tự nhiên,32.25389
hương rong biển tự nhiên,hương rong biển,26.393398
xoài,xoài tươi,10.158916
xoài,xoài puree,10.158916
e464,"e464 , Hydroxypropyl methyl cellulose , Hydroxypropyl methyl cellulose",19.524426
sucrose esters of fatty acids,"e473 , Este của sucrose với các acid béo , Sucrose esters of fatty acids",45.1522
sucrose esters of fatty acids,glycerin esters of fatty acids,37.627926
hương vải tự nhiên,hương vải,15.460308
hương vải tự nhiên,hương vải tổng hợp,13.871576
tinh bột khoai mì biến tính e1420,tinh bột khoai mì biến tính,51.32267
tinh bột khoai mì biến tính e1420,tinh bột khoai mì,32.982014
dung dịch đường,dung dịch lên men,22.752361
dung dịch đường,dung dịch được chiết xuất từ hoa cây thốt nốt đực,17.264011
hành hoa,hành lá sấy thăng hoa,13.076443
hành hoa,đản hoa,8.3323965
chất ổn định lòng trắng trứng,lòng trắng trứng,31.818825
chất ổn định lòng trắng trứng,bột lòng trắng trứng,30.48644
sucre beure dencpo,sucre,12.158652
sucre beure dencpo,sucre roux,11.367317
monophotphat,inosine 5 monophotphat,9.267943
monophotphat,cytidine 5 monophotphat,9.267943
canxi hydroxid,natri hydroxid,11.025056
canxi hydroxid,kali hydroxid,11.025056
grilled chicken barbecue seasoning,seasoning,11.048452
grilled chicken barbecue seasoning,crab seasoning,10.329372
có chứa sunfit,sản phẩm có chứa sunfit,28.659784
có chứa sunfit,có chứa,13.030661
chế phẩm tinh bột,chế phẩm sữa,21.460272
chế phẩm tinh bột,chế phẩm enzyme,21.460272
màu tổng,màu tổng hợp,14.058316
màu tổng,màu tổng hop,14.058316
mù tạt cô đặc,mù tạt,22.96001
mù tạt cô đặc,mù tạt sulfit,21.862904
leavening agent sodium bicarbonate,leavening agent,25.867626
leavening agent sodium bicarbonate,sodium bicarbonate,23.4406
măng muối chua,cải sậy muối chua,20.270815
măng muối chua,măng,10.866129
glucidex,glucidex 12d,11.825552
chất chống đông vón,muối chất chống đông vón,36.51853
chất chống đông vón,chất chống đông vón e470_iii,29.989616
ngũ cốc chứa gluten,chứa ngũ cốc chứa gluten,37.911064
ngũ cốc chứa gluten,ngũ cốc có chứa gluten,33.215405
sodium,bicarbonate de sodium,9.267943
sodium,métabisulfite de sodium,9.267943
táo khô,giấm táo khô,20.223488
táo khô,táo hữu cơ sấy khô,13.120148
ngó sen,củ sen,10.158916
ngó sen,hương sen,10.158916
tocopherol dạng hỗn hợp,chất chống oxy hoá tocopherol dạng hỗn hợp,31.786854
tocopherol dạng hỗn hợp,tocopherol concentrate dạng hỗn hợp,30.183336
có chứa cần tây,cần tây,19.257862
có chứa cần tây,bột cần tây,18.348373
axit citric thực phẩm,axit thực phẩm,20.29066
axit citric thực phẩm,axit citric,20.147125
xiro glucoza,đường xiro glucoza,22.990189
xiro glucoza,xiro,10.704107
dịch hạt mắc ca,hạt mắc ca,33.48696
dịch hạt mắc ca,mắc ca,22.52113
e965_i,"e965_i , Maltitol , Maltitol",22.92979
lúa mì italy,lúa mì,16.97117
lúa mì italy,lúa mì cứng,16.16531
non hydrogenated palm oil,non hydrogenated rapeseed oil,29.100418
non hydrogenated palm oil,palm oil,21.554659
dầu hạt cải có hàm lương erucic acid thấp,dầu hạt cải có hàm lượng erucic acid thấp,68.26791
dầu hạt cải có hàm lương erucic acid thấp,dầu hạt cải có hàm lượng axit eroic thấp,45.467545
rượu nếp,nếp,10.304338
rượu nếp,bột nếp,9.63369
cà rốt bột tôm,bột tôm,20.526237
cà rốt bột tôm,cà rốt,17.487812
wney bột,bột,8.270445
wney bột,gói bột,7.7321706
barô,hành barô,11.825552
e407 e425,e425,11.792564
e407 e425,e407,11.500251
monosodim glutamat,glutamat,9.58372
monosodim glutamat,mononatri glutamat,8.959972
chất điều vị monosodium lallamate,chất điều vị monosodium l,27.725935
chất điều vị monosodium lallamate,chất điều vị monosodium glutamate,27.725935
chất điều độ acid,chất điều chinh độ acid,23.04179
chất điều độ acid,chất điều chính độ acid,23.04179
mushroom extract,mushroom sachet,11.825552
mushroom extract,kelp extract,8.291124
sodium pyrophosphate,sodium acid pyrophosphate,16.06105
sodium pyrophosphate,tetrasodium pyrophosphate,10.52426
"e307b , Tocopherol concentrat (dạng hỗn hợp) , Tocopherol concentrate, mixed",tocopherol concentrate dạng hỗn hợp,49.285244
"e307b , Tocopherol concentrat (dạng hỗn hợp) , Tocopherol concentrate, mixed",tocopherol dạng hỗn hợp,39.814262
cocoa paste,cocoa butter,9.63369
cocoa paste,cocoa mass,9.63369
dầu gừng,gừng,10.19223
dầu gừng,củ gừng,9.528877
tinh dầu bắc ha,tinh dầu hành,16.106354
tinh dầu bắc ha,tinh dầu cay,16.106354
chứa  sô cô la sữa,sản phẩm chứa  sô cô la sữa,42.801674
chứa  sô cô la sữa,sô cô la sữa,34.34848
pyridoxin hydrochloride,kali iodua pyridoxin hydrochloride,22.83318
pyridoxin hydrochloride,hysine hydrochloride,10.52426
chất làm dầy e414,chất làm dầy,22.258165
chất làm dầy e414,chất làm dầy e1440,21.241104
antioxidant ascorbic acid,ascorbic acid,19.450535
antioxidant ascorbic acid,l ascorbic acid,18.548576
cây cải ngựa,cây chanh,9.431559
cây cải ngựa,cây chai,9.431559
blend baking powder b201,bột đậu nành blend baking powder b201,43.646145
blend baking powder b201,blend baking powder b201 chất điều chỉnh độ acid,40.796524
chất béo bo,chất béo,12.386126
chất béo bo,chất béo mct,11.737216
sốt hạt dẻ,hạt dẻ,21.762823
sốt hạt dẻ,kem hạt dẻ,20.689774
bông gạo,bông hồi,11.367317
bông gạo,bông cải xanh,10.672695
e320 e321,e320 hoặc e321,19.362703
e320 e321,e320,11.500251
"e954_iv , Natri saccharin , Sodium saccharin",e954_iv,27.868752
"e954_iv , Natri saccharin , Sodium saccharin","e954_i , Saccharin , Saccharin",23.704643
chiết xuất từ ớt cựa gà,ớt cựa gà,33.731323
chiết xuất từ ớt cựa gà,hương vị ớt cựa gà,31.045963
bột chiết xuất mực,chiết xuất mực,28.84509
bột chiết xuất mực,bột chiết xuất dâu,18.08592
vitamin a e7,vitamin a,19.490688
vitamin a e7,vitamin a axetat,18.51574
betagen hương tự nhiên,hương tự nhiên,20.74862
betagen hương tự nhiên,bột hương tự nhiên,19.88574
có nguồn gốc thực vật,phụ gia thực phẩm có nguồn gốc thực vật,37.348045
có nguồn gốc thực vật,chất phụ gia có nguồn gốc từ thực vật,23.841496
xử lý ammonium,xử lý bột,20.956142
xử lý ammonium,xử lý amoni,20.956142
margarine vegétale,margarine,11.792564
margarine vegétale,margarine végétale,11.025056
muối tinh,muối tinh khiết,17.24828
muối tinh,muối tinh luyện,17.24828
ng sữa,ng sữa bột ca cao gay,18.848894
ng sữa,ng,9.514341
ins e452_i,e452_i,11.048452
ins e452_i,e451 e452_i,10.329372
"e530 , Oxyd magnesi , Magnesium oxide",magnesium oxide,35.768776
"e530 , Oxyd magnesi , Magnesium oxide",e530,27.868752
emulgator e471,emulgator,12.158652
emulgator e471,emulgator lecithine,11.367317
sợi mì,sợi lúa mì,15.644041
sợi mì,sợi dừa,10.158916
đường dầu thực vật,sữa bởi đường dầu thực vật,33.483704
đường dầu thực vật,dầu thực vật,23.713318
chất chống oxy hóa e325,chất chống oxy hóa,27.341995
chất chống oxy hóa e325,chất chống oxy hóa e307b,26.234913
d xylose chiết xuất từ ớt,chiết xuất từ ớt,31.625141
d xylose chiết xuất từ ớt,màu chiết xuất từ ớt,30.362637
màu dioxyd titan nhân tạo,màu dioxyd titan tổng hợp,28.57092
màu dioxyd titan nhân tạo,màu nhân tạo,19.721453
kali lodid,kali,7.805247
kali lodid,kali citrate,7.297249
anti oxydant,anti caking agent,11.102929
gia vị mihyang,gia vị,13.756061
gia vị mihyang,gia vị ớt,13.102896
nước nấu từ hạt sen tươi,hạt sen tươi nguyên chất,20.105593
nước nấu từ hạt sen tươi,nước dứa tươi,11.001472
trà búp xanh thái nguyên,trà xanh thái nguyên,39.72327
trà búp xanh thái nguyên,búp chè xanh thái nguyên,30.848673
m inosotol,m,12.158652
m inosotol,m inositol,11.367317
hỗn hợp cốm,hòn hợp cốm hỗn hợp cốm kiểu hà nội dạng bột,16.001272
hỗn hợp cốm,hỗn hợp,13.656361
hương rau tổng hợp,chiết xuất củ cải hương rau tổng hợp,29.106216
hương rau tổng hợp,hương rau húng tổng hợp,21.11917
chất tạo cay oleoresin capsicum,chất tạo cay oléoresin capsicum,29.167263
chất tạo cay oleoresin capsicum,oleoresin capsicum,24.143538
sữa từ bò,từ bò,20.701893
sữa từ bò,gelatin từ bò,19.735188
hành lá sấy sả,hành lá sấy,30.235073
hành lá sấy sả,hành lá sấy thăng hoa,27.669247
khoảng chat,khoáng chat,11.825552
khoảng chat,khoảng,11.500251
sodium caseinate chiết xuất từ sữa,dẫn xuất từ sữa,21.90163
sodium caseinate chiết xuất từ sữa,sodium caseinate,19.956448
hương vai,hương,4.0769987
hương vai,hương liêu,3.811651
hương sữa trứng,hương sữa,13.371279
hương sữa trứng,hương sữa chua,12.659961
chất điều chỉnh độ e acid,chất điều chỉnh độ acid,29.226372
chất điều chỉnh độ e acid,chất điều chỉnh độ độ acid,28.02327
không hương liệu,không hương liệu nhân tạo,27.370487
không hương liệu,hương liệu,19.272587
dâ u co,dâ u thư c vâ t,21.967426
dâ u co,co,11.500251
chất tạo màu tự nhiên e120,màu tự nhiên e120,35.440014
chất tạo màu tự nhiên e120,chất tạo màu tự nhiên,30.694658
"e959 ,  , neohesperidin dihydrochalcone","e965 ,  , maltitol",5.368336
"e959 ,  , neohesperidin dihydrochalcone","e558 ,  , bentonite",5.368336
trứng tươi thanh trùng,kem sữa tươi thanh trùng,30.41447
trứng tươi thanh trùng,trứng tươi,21.82328
sản phẩm chứa ít dư lượng chế phẩm đậu,sản phẩm chứa,20.191967
sản phẩm chứa ít dư lượng chế phẩm đậu,sản phẩm chứa sữa,19.292192
chất béo mct,bột béo mct,24.39494
chất béo mct,chất béo,12.386126
bột ớt sừng,bột ớt,13.899682
bột ớt sừng,bột ớt cay,13.159739
sốt đường đen,đường đen,19.274174
sốt đường đen,xốt đường đen,18.370277
hương giống tư nhiên,hương giống tự nhiên,17.294254
hương giống tư nhiên,phẩm màu tư nhiên,16.495201
màu thực phẩm tổng hợp e150d,màu thực phẩm tổng hợp,33.3867
màu thực phẩm tổng hợp e150d,màu thực phẩm tổng hợp e110,32.166004
hương thịt ga,hương thịt,13.318892
hương thịt ga,hương thịt heo,12.610775
chiết xuất trái thanh mai,chiết xuất trái cây,21.561775
chiết xuất trái thanh mai,chiết xuất trái dành danh,20.615278
hương soda nhân tạo,hương nhân tạo,17.925154
hương soda nhân tạo,hương vanilla nhân tạo,17.053913
sáp ông,sáp camauba,9.528877
sáp ông,sáp cọ,9.528877
"e308 ,  , gamma-tocopherol(synthetic)","e309 ,  , delta-tocopherol(synthetic)",25.594193
"e308 ,  , gamma-tocopherol(synthetic)","e458 , gamma- Cyclodextrin , Cyclodextrin, gamma-",8.922115
bột sương sáo đen,bột sương sáo đen  bột năng,36.12329
bột sương sáo đen,bột sương sáo,27.314425
chất tạo màu beta caroten tự nhiên,chất tạo màu beta caroten tổng hợp,34.664886
chất tạo màu beta caroten tự nhiên,beta caroten tự nhiên,31.286278
hương nho tổng hợp,hương nho tổng hợp dùng cho thực phẩm,27.985296
hương nho tổng hợp,hướng nho tổng hợp,22.130665
hương tảo biển giống tự nhiên,hương giống tự nhiên,19.68807
hương tảo biển giống tự nhiên,hương trà giống tự nhiên,18.841072
tinh cốt cá,tinh cốt cá cơm,27.684984
tinh cốt cá,nước mắm từ tinh cốt cá,27.436855
có thể chứa dạng vết của lecithin đậu nành,có thể chứa dạng vết của lúa mạch,49.59045
có thể chứa dạng vết của lecithin đậu nành,có thể chứa dấu vết của đậu nành,34.146168
tép cam,tép cam hoàn nguyên,21.905807
tép cam,tép,10.704107
hương phô mai trứng muối tổng hợp,hương trứng muối tổng hợp,35.21934
hương phô mai trứng muối tổng hợp,hương phô mai tổng hợp,30.045135
da pastry,kem pastry,11.825552
da pastry,da,10.304338
whey,whey bớt,9.340734
whey,whey sữa,9.340734
dầu bạc hà,tinh dầu bạc hà,29.781557
dầu bạc hà,hương dầu bạc hà,29.781557
mỗi qua bánh có  kem hạnh nhân hương sô cô la tổng hợp,hương sô cô la tổng hợp,46.751007
mỗi qua bánh có  kem hạnh nhân hương sô cô la tổng hợp,hương sô cô la tổng hợp dùng cho thực phẩm,36.38622
artificial milk flavor,artificial flavor,18.974422
artificial milk flavor,artificial vanilla flavor,17.814955
sát pyrophosphat,pyrophosphat,11.500251
sát pyrophosphat,sát,11.048452
hạnh nhân nghiên,hạnh nhân,21.051023
hạnh nhân nghiên,hạnh nhân lát,20.051264
soy lecithin e322_i,lecithin e322_i,23.490416
soy lecithin e322_i,soy lecithin,21.9802
bột tẩm,bột tẩm predust,14.564489
bột tẩm,bột tẩm khô,14.564489
si rô fructose,si rô ngô hàm lượng cao fructose,22.16433
si rô fructose,xi rô fructose,21.90678
sữa bò,sữa bột từ sữa bò,20.550236
sữa bò,sữa bột tách kem từ sữa bò,18.81778
gạo đen,tinh chất gạo đen,19.78591
gạo đen,gạo lứt đen,13.59448
có thể chứa dấu vết của trứng,có thể chứa vết của trứng,47.095013
có thể chứa dấu vết của trứng,có thể chứa dấu vết của đậu nành,46.442654
cá cơm phú quốc,nước mắm cá cơm phú quốc,37.40712
cá cơm phú quốc,cá cơm phú quốc trên,37.1009
hương sữa chua,hương sữa chua tự nhiên,21.091959
hương sữa chua,hương sữa chua nhân tạo,21.091959
siro glucoza,glucoza,10.19223
siro glucoza,đường glucoza,9.528877
thịt bò bằm,xốt bò bằm,24.39494
thịt bò bằm,thịt bò,16.953716
khoảng chất sắt pyrophosphate,sắt pyrophosphate,24.143538
khoảng chất sắt pyrophosphate,khoảng chất,24.03345
e322_i chiết xuất từ đầu mình,e322_i chiết xuất từ đậu nành,32.88021
e322_i chiết xuất từ đầu mình,chiết xuất từ đầu nành,21.224598
e2018 befagen hương dứa,hương dứa,22.288776
e2018 befagen hương dứa,e2019 befagen hương cam,10.463534
e635,"e635 , Dinatri 5'- ribonucleotid , Disodium 5'- ribonucleotides",18.97448
e635,e622 e635,11.025056
chất màu tổng hợp,chất tạo màu tổng hợp,20.881706
chất màu tổng hợp,màu tổng hợp,19.172966
chiết xuất rau củ vege e860,chiết xuất rau củ,32.15619
chiết xuất rau củ vege e860,chiết xuất rau củ quả tươi,29.680641
mangan sulfat kali iodid,mangan sulphat kali iodid,31.09525
mangan sulfat kali iodid,kali iodid,24.644333
